#SampleID	Assay_Type	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	Experiment	FT	eid	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	Unnamed: 0	Unnamed: 0.1	avg_daily_flow	biochem_oxygen_dem	collection_date	depth	env_biome	env_feature	env_material	geo_loc_name	host	isolation_source	label	lat_lon	mapfile	precipitation_24hour	publication_title	samp_collect_device	samp_size	samp_vol_we_dna_ext	sample_collection_device_or_method	sample_size	sample_volume_for_DNA_extraction	sewage_type	sewer_system_type	source_material_id	suspend_solids	tot_nitro	tot_phosphorus
SRR6684097	AMPLICON	502	PRJNA433408	SAMN08481942	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660302			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Cow_PU77	2/7/18	90	53	gut metagenome	ILLUMINA	4/25/18	SRR6684097	SRS2924125	SRP132403	SLM_NIH3_Bv4v5_Cow_PU77	10	10			2/16/15					USA:Wisconsin	cow	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Cow_PU77			
SRR6684096	AMPLICON	502	PRJNA433408	SAMN08481943	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660303			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Cow_PU78	2/7/18	67	40	gut metagenome	ILLUMINA	4/25/18	SRR6684096	SRS2924126	SRP132403	SLM_NIH3_Bv4v5_Cow_PU78	11	11			2/16/15					USA:Wisconsin	cow	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Cow_PU78			
SRR6684098	AMPLICON	502	PRJNA433408	SAMN08481983	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660305			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Steer_PU71	2/7/18	88	53	gut metagenome	ILLUMINA	4/25/18	SRR6684098	SRS2924127	SRP132403	SLM_NIH3_Bv4v5_Steer_PU71	12	12			2/18/15					USA:Wisconsin	cow	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Steer_PU71			
SRR6684094	AMPLICON	502	PRJNA433408	SAMN08481951	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660306			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Deer_PU51	2/7/18	56	33	gut metagenome	ILLUMINA	4/25/18	SRR6684094	SRS2924128	SRP132403	SLM_NIH3_Bv4v5_Deer_PU51	13	13			10/2/14					USA:Wisconsin	deer	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Deer_PU51			
SRR6684099	AMPLICON	502	PRJNA433408	SAMN08481950	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660307			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Deer_PU11	2/7/18	75	42	gut metagenome	ILLUMINA	4/25/18	SRR6684099	SRS2924129	SRP132403	SLM_NIH3_Bv4v5_Deer_PU11	14	14			11/4/13					USA:Wisconsin	deer	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Deer_PU11			
SRR6684100	AMPLICON	502	PRJNA433408	SAMN08481966	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660309			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Dog_PU20	2/7/18	96	57	gut metagenome	ILLUMINA	4/25/18	SRR6684100	SRS2924130	SRP132403	SLM_NIH3_Bv4v5_Dog_PU20	15	15			11/14/13					USA:Wisconsin	dog	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Dog_PU20			
SRR6684093	AMPLICON	502	PRJNA433408	SAMN08481967	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660308			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Dog_PU23	2/7/18	59	35	gut metagenome	ILLUMINA	4/25/18	SRR6684093	SRS2924131	SRP132403	SLM_NIH3_Bv4v5_Dog_PU23	16	16			11/9/13					USA:Wisconsin	dog	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Dog_PU23			
SRR6684092	AMPLICON	502	PRJNA433408	SAMN08481969	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660310			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Pig_187	2/7/18	59	34	gut metagenome	ILLUMINA	4/25/18	SRR6684092	SRS2924132	SRP132403	SLM_NIH3_Bv4v5_Pig_187	17	17			missing					USA:Iowa	pig	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Pig_187			
SRR6684091	AMPLICON	502	PRJNA433408	SAMN08481968	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660311			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Piglet_PU0083	2/7/18	78	44	gut metagenome	ILLUMINA	4/25/18	SRR6684091	SRS2924133	SRP132403	SLM_NIH3_Bv4v5_Piglet_PU0083	18	18			2/18/15					USA:Wisconsin	pig	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Piglet_PU0083			
SRR6684090	AMPLICON	502	PRJNA433408	SAMN08481963	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660312			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Dog_PU13	2/7/18	54	32	gut metagenome	ILLUMINA	4/25/18	SRR6684090	SRS2924134	SRP132403	SLM_NIH3_Bv4v5_Dog_PU13	19	19			11/6/13					USA:Wisconsin	dog	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Dog_PU13			
SRR6684089	AMPLICON	502	PRJNA433408	SAMN08481962	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660313			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Dog_PU08	2/7/18	54	33	gut metagenome	ILLUMINA	4/25/18	SRR6684089	SRS2924135	SRP132403	SLM_NIH3_Bv4v5_Dog_PU08	20	20			11/3/13					USA:Wisconsin	dog	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Dog_PU08			
SRR6684088	AMPLICON	502	PRJNA433408	SAMN08481965	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660314			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Dog_PU19	2/7/18	68	40	gut metagenome	ILLUMINA	4/25/18	SRR6684088	SRS2924136	SRP132403	SLM_NIH3_Bv4v5_Dog_PU19	21	21			11/11/13					USA:Wisconsin	dog	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Dog_PU19			
SRR6684087	AMPLICON	502	PRJNA433408	SAMN08481964	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660315			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Dog_PU17	2/7/18	57	35	gut metagenome	ILLUMINA	4/25/18	SRR6684087	SRS2924137	SRP132403	SLM_NIH3_Bv4v5_Dog_PU17	22	22			11/11/13					USA:Wisconsin	dog	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Dog_PU17			
SRR6684086	AMPLICON	502	PRJNA433408	SAMN08481984	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660316			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Steer_PU72	2/7/18	69	43	gut metagenome	ILLUMINA	4/25/18	SRR6684086	SRS2924138	SRP132403	SLM_NIH3_Bv4v5_Steer_PU72	23	23			2/18/15					USA:Wisconsin	cow	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Steer_PU72			
SRR6684084	AMPLICON	502	PRJNA433408	SAMN08481970	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660318			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Pig_188	2/7/18	53	30	gut metagenome	ILLUMINA	4/25/18	SRR6684084	SRS2924139	SRP132403	SLM_NIH3_Bv4v5_Pig_188	24	24			missing					USA:Iowa	pig	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Pig_188			
SRR6684085	AMPLICON	502	PRJNA433408	SAMN08481971	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660317			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Pig_189	2/7/18	57	32	gut metagenome	ILLUMINA	4/25/18	SRR6684085	SRS2924140	SRP132403	SLM_NIH3_Bv4v5_Pig_189	25	25			missing					USA:Iowa	pig	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Pig_189			
SRR6684080	AMPLICON	502	PRJNA433408	SAMN08481973	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660320			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Pig_27	2/7/18	111	62	gut metagenome	ILLUMINA	4/25/18	SRR6684080	SRS2924141	SRP132403	SLM_NIH3_Bv4v5_Pig_27	26	26			missing					USA:Iowa	pig	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Pig_27			
SRR6684083	AMPLICON	502	PRJNA433408	SAMN08481988	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660319			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Steer_PU81	2/7/18	196	118	gut metagenome	ILLUMINA	4/25/18	SRR6684083	SRS2924142	SRP132403	SLM_NIH3_Bv4v5_Steer_PU81	27	27			2/18/15					USA:Wisconsin	cow	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Steer_PU81			
SRR6684079	AMPLICON	502	PRJNA433408	SAMN08481987	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660321			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Steer_PU79	2/7/18	57	34	gut metagenome	ILLUMINA	4/25/18	SRR6684079	SRS2924143	SRP132403	SLM_NIH3_Bv4v5_Steer_PU79	28	28			2/16/15					USA:Wisconsin	cow	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Steer_PU79			
SRR6684081	AMPLICON	502	PRJNA433408	SAMN08481922	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660323			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH2_Bv4v5_1St_76_RV_Embasa	2/7/18	36	20	wastewater metagenome	ILLUMINA	4/25/18	SRR6684081	SRS2924144	SRP132403	SLM_NIH2_Bv4v5_1St_76_RV_Embasa	29	29			8/13/12					Brazil	not applicable	wastewater treatment plant influent		not collected	map.j123.txt											SLM_NIH2_Bv4v5_1St_76_RV_Embasa			
SRR6684078	AMPLICON	502	PRJNA433408	SAMN08481954	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660322			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Deer_PU59	2/7/18	52	29	gut metagenome	ILLUMINA	4/25/18	SRR6684078	SRS2924145	SRP132403	SLM_NIH3_Bv4v5_Deer_PU59	30	30			11/15/14					USA:Oregon	deer	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Deer_PU59			
SRR6684077	AMPLICON	502	PRJNA433408	SAMN08481923	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660324			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_JIINFcomposite	2/7/18	36	20	wastewater metagenome	ILLUMINA	4/25/18	SRR6684077	SRS2924146	SRP132403	SLM_NIH3_Bv4v5_JIINFcomposite	31	31			8/13/14					USA:Wisconsin	not applicable	wastewater treatment plant influent		not collected	map.j123.txt											SLM_NIH3_Bv4v5_JIINFcomposite			
SRR6684082	AMPLICON	502	PRJNA433408	SAMN08481924	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660325			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_MalawiSewage1A	2/7/18	46	26	wastewater metagenome	ILLUMINA	4/25/18	SRR6684082	SRS2924147	SRP132403	SLM_NIH3_Bv4v5_MalawiSewage1A	32	32			8/7/14					Malawi	not applicable	wastewater treatment plant influent		not collected	map.j123.txt											SLM_NIH3_Bv4v5_MalawiSewage1A			
SRR6684076	AMPLICON	502	PRJNA433408	SAMN08481925	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660326			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_MalawiSewage1B	2/7/18	55	30	wastewater metagenome	ILLUMINA	4/25/18	SRR6684076	SRS2924148	SRP132403	SLM_NIH3_Bv4v5_MalawiSewage1B	33	33			8/7/14					Malawi	not applicable	wastewater treatment plant influent		not collected	map.j123.txt											SLM_NIH3_Bv4v5_MalawiSewage1B			
SRR6684072	AMPLICON	502	PRJNA433408	SAMN08481927	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660327			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_RV_Embasa	2/7/18	48	26	wastewater metagenome	ILLUMINA	4/25/18	SRR6684072	SRS2924149	SRP132403	SLM_NIH3_Bv4v5_RV_Embasa	34	34			missing					Brazil	not applicable	wastewater treatment plant influent		not collected	map.j123.txt											SLM_NIH3_Bv4v5_RV_Embasa			
SRR6684071	AMPLICON	502	PRJNA433408	SAMN08481926	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660328			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_ReusSpain	2/7/18	40	22	wastewater metagenome	ILLUMINA	4/25/18	SRR6684071	SRS2924150	SRP132403	SLM_NIH3_Bv4v5_ReusSpain	35	35			9/30/13					Spain	not applicable	wastewater treatment plant influent		not collected	map.j123.txt											SLM_NIH3_Bv4v5_ReusSpain			
SRR6684070	AMPLICON	502	PRJNA433408	SAMN08481928	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660329			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_SSINFcomposite	2/7/18	41	23	wastewater metagenome	ILLUMINA	4/25/18	SRR6684070	SRS2924151	SRP132403	SLM_NIH3_Bv4v5_SSINFcomposite	36	36			8/13/14					USA:Wisconsin	not applicable	wastewater treatment plant influent		not collected	map.j123.txt											SLM_NIH3_Bv4v5_SSINFcomposite			
SRR6684073	AMPLICON	502	PRJNA433408	SAMN08481929	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660330			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_SSINFgrab	2/7/18	44	24	wastewater metagenome	ILLUMINA	4/25/18	SRR6684073	SRS2924152	SRP132403	SLM_NIH3_Bv4v5_SSINFgrab	37	37			8/12/14					USA:Wisconsin	not applicable	wastewater treatment plant influent		not collected	map.j123.txt											SLM_NIH3_Bv4v5_SSINFgrab			
SRR6684069	AMPLICON	502	PRJNA433408	SAMN08481930	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660331			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Cat_PU03	2/7/18	79	49	gut metagenome	ILLUMINA	4/25/18	SRR6684069	SRS2924153	SRP132403	SLM_NIH3_Bv4v5_Cat_PU03	38	38			11/3/13					USA:Wisconsin	cat	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Cat_PU03			
SRR6684074	AMPLICON	502	PRJNA433408	SAMN08481931	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660332			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Cat_PU12	2/7/18	72	43	gut metagenome	ILLUMINA	4/25/18	SRR6684074	SRS2924154	SRP132403	SLM_NIH3_Bv4v5_Cat_PU12	39	39			11/6/13					USA:Wisconsin	cat	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Cat_PU12			
SRR6684075	AMPLICON	502	PRJNA433408	SAMN08481952	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660334			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Deer_PU54	2/7/18	59	33	gut metagenome	ILLUMINA	4/25/18	SRR6684075	SRS2924155	SRP132403	SLM_NIH3_Bv4v5_Deer_PU54	40	40			11/29/14					USA:Wisconsin	deer	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Deer_PU54			
SRR6684068	AMPLICON	502	PRJNA433408	SAMN08481979	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660333			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Rabbit_PU09	2/7/18	0	0	gut metagenome	ILLUMINA	4/25/18	SRR6684068	SRS2924156	SRP132403	SLM_NIH3_Bv4v5_Rabbit_PU09	41	41			11/6/15					USA:Wisconsin	rabbit	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Rabbit_PU09			
SRR6684067	AMPLICON	502	PRJNA433408	SAMN08481953	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660335			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Deer_PU55	2/7/18	53	29	gut metagenome	ILLUMINA	4/25/18	SRR6684067	SRS2924157	SRP132403	SLM_NIH3_Bv4v5_Deer_PU55	42	42			11/29/14					USA:Wisconsin	deer	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Deer_PU55			
SRR6684066	AMPLICON	502	PRJNA433408	SAMN08481940	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660336			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Cow_PU75	2/7/18	62	37	gut metagenome	ILLUMINA	4/25/18	SRR6684066	SRS2924158	SRP132403	SLM_NIH3_Bv4v5_Cow_PU75	43	43			2/16/15					USA:Wisconsin	cow	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Cow_PU75			
SRR6684065	AMPLICON	502	PRJNA433408	SAMN08481941	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660337			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Cow_PU76	2/7/18	105	63	gut metagenome	ILLUMINA	4/25/18	SRR6684065	SRS2924159	SRP132403	SLM_NIH3_Bv4v5_Cow_PU76	44	44			2/16/15					USA:Wisconsin	cow	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Cow_PU76			
SRR6684064	AMPLICON	502	PRJNA433408	SAMN08481956	Metagenome or environmental	UNIVERSITY OF WISCONSIN-MILWAUKEE	public	sra	ncbi	SRX3660338			0	Illumina MiSeq	PAIRED	PCR	GENOMIC	SLM_NIH3_Bv4v5_Deer_PU68	2/7/18	51	29	gut metagenome	ILLUMINA	4/25/18	SRR6684064	SRS2924160	SRP132403	SLM_NIH3_Bv4v5_Deer_PU68	45	45			11/16/15					USA:Oregon	deer	animal fecal samples		not collected	map.j123.txt											SLM_NIH3_Bv4v5_Deer_PU68			
